,name,type,value,date
0,北京市,,28014,2017
1,天津市,,18549,2017
2,河北省,,34016,2017
3,山西省,,15528,2017
4,内蒙古自治区,,16096,2017
5,辽宁省,,23409,2017
6,吉林省,,14944,2017
7,黑龙江省,,15902,2017
8,上海市,,30632,2017
9,江苏省,,85869,2017
10,浙江省,,51768,2017
11,安徽省,,27018,2017
12,福建省,,32182,2017
13,江西省,,20006,2017
14,山东省,,72634,2017
15,河南省,,44552,2017
16,湖北省,,35478,2017
17,湖南省,,33902,2017
18,广东省,,89705,2017
19,广西壮族自治区,,18523,2017
20,海南省,,4462,2017
21,重庆市,,19424,2017
22,四川省,,36980,2017
23,贵州省,,13540,2017
24,云南省,,16376,2017
25,西藏自治区,,1310,2017
26,陕西省,,21898,2017
27,甘肃省,,7459,2017
28,青海省,,2624,2017
29,宁夏回族自治区,,3443,2017
30,新疆维吾尔自治区,,10881,2017
31,北京市,,25669,2016
32,天津市,,17885,2016
33,河北省,,32070,2016
34,山西省,,13050,2016
35,内蒙古自治区,,18128,2016
36,辽宁省,,22246,2016
37,吉林省,,14776,2016
38,黑龙江省,,15386,2016
39,上海市,,28178,2016
40,江苏省,,77388,2016
41,浙江省,,47251,2016
42,安徽省,,24407,2016
43,福建省,,28810,2016
44,江西省,,18499,2016
45,山东省,,68024,2016
46,河南省,,40471,2016
47,湖北省,,32665,2016
48,湖南省,,31551,2016
49,广东省,,80854,2016
50,广西壮族自治区,,18317,2016
51,海南省,,4053,2016
52,重庆市,,17740,2016
53,四川省,,32934,2016
54,贵州省,,11776,2016
55,云南省,,14788,2016
56,西藏自治区,,1151,2016
57,陕西省,,19399,2016
58,甘肃省,,7200,2016
59,青海省,,2572,2016
60,宁夏回族自治区,,3168,2016
61,新疆维吾尔自治区,,9649,2016
62,北京市,,23014,2015
63,天津市,,16538,2015
64,河北省,,29806,2015
65,山西省,,12766,2015
66,内蒙古自治区,,17831,2015
67,辽宁省,,28669,2015
68,吉林省,,14063,2015
69,黑龙江省,,15083,2015
70,上海市,,25123,2015
71,江苏省,,70116,2015
72,浙江省,,42886,2015
73,安徽省,,22005,2015
74,福建省,,25979,2015
75,江西省,,16723,2015
76,山东省,,63002,2015
77,河南省,,37002,2015
78,湖北省,,29550,2015
79,湖南省,,28902,2015
80,广东省,,72812,2015
81,广西壮族自治区,,16803,2015
82,海南省,,3702,2015
83,重庆市,,15717,2015
84,四川省,,30053,2015
85,贵州省,,10502,2015
86,云南省,,13619,2015
87,西藏自治区,,1026,2015
88,陕西省,,18021,2015
89,甘肃省,,6790,2015
90,青海省,,2417,2015
91,宁夏回族自治区,,2911,2015
92,新疆维吾尔自治区,,9324,2015
93,北京市,,21330,2014
94,天津市,,15726,2014
95,河北省,,29421,2014
96,山西省,,12761,2014
97,内蒙古自治区,,17770,2014
98,辽宁省,,28626,2014
99,吉林省,,13803,2014
100,黑龙江省,,15039,2014
101,上海市,,23567,2014
102,江苏省,,65088,2014
103,浙江省,,40173,2014
104,安徽省,,20848,2014
105,福建省,,24055,2014
106,江西省,,15714,2014
107,山东省,,59426,2014
108,河南省,,34938,2014
109,湖北省,,27379,2014
110,湖南省,,27037,2014
111,广东省,,67809,2014
112,广西壮族自治区,,15672,2014
113,海南省,,3500,2014
114,重庆市,,14262,2014
115,四川省,,28536,2014
116,贵州省,,9266,2014
117,云南省,,12814,2014
118,西藏自治区,,920,2014
119,陕西省,,17689,2014
120,甘肃省,,6836,2014
121,青海省,,2303,2014
122,宁夏回族自治区,,2752,2014
123,新疆维吾尔自治区,,9273,2014
124,北京市,,19800,2013
125,天津市,,14442,2013
126,河北省,,28442,2013
127,山西省,,12665,2013
128,内蒙古自治区,,16916,2013
129,辽宁省,,27213,2013
130,吉林省,,13046,2013
131,黑龙江省,,14454,2013
132,上海市,,21818,2013
133,江苏省,,59753,2013
134,浙江省,,37756,2013
135,安徽省,,19229,2013
136,福建省,,21868,2013
137,江西省,,14410,2013
138,山东省,,55230,2013
139,河南省,,32191,2013
140,湖北省,,24791,2013
141,湖南省,,24621,2013
142,广东省,,62474,2013
143,广西壮族自治区,,14449,2013
144,海南省,,3177,2013
145,重庆市,,12783,2013
146,四川省,,26392,2013
147,贵州省,,8086,2013
148,云南省,,11832,2013
149,西藏自治区,,815,2013
150,陕西省,,16205,2013
151,甘肃省,,6330,2013
152,青海省,,2122,2013
153,宁夏回族自治区,,2577,2013
154,新疆维吾尔自治区,,8443,2013
155,北京市,,17879,2012
156,天津市,,12893,2012
157,河北省,,26575,2012
158,山西省,,12112,2012
159,内蒙古自治区,,15880,2012
160,辽宁省,,24846,2012
161,吉林省,,11939,2012
162,黑龙江省,,13691,2012
163,上海市,,20181,2012
164,江苏省,,54058,2012
165,浙江省,,34665,2012
166,安徽省,,17212,2012
167,福建省,,19701,2012
168,江西省,,12948,2012
169,山东省,,50013,2012
170,河南省,,29599,2012
171,湖北省,,22250,2012
172,湖南省,,22154,2012
173,广东省,,57067,2012
174,广西壮族自治区,,13035,2012
175,海南省,,2855,2012
176,重庆市,,11409,2012
177,四川省,,23872,2012
178,贵州省,,6852,2012
179,云南省,,10309,2012
180,西藏自治区,,701,2012
181,陕西省,,14453,2012
182,甘肃省,,5650,2012
183,青海省,,1893,2012
184,宁夏回族自治区,,2341,2012
185,新疆维吾尔自治区,,7505,2012
186,北京市,,16251,2011
187,天津市,,11307,2011
188,河北省,,24515,2011
189,山西省,,11237,2011
190,内蒙古自治区,,14359,2011
191,辽宁省,,22226,2011
192,吉林省,,10568,2011
193,黑龙江省,,12582,2011
194,上海市,,19195,2011
195,江苏省,,49110,2011
196,浙江省,,32318,2011
197,安徽省,,15300,2011
198,福建省,,17560,2011
199,江西省,,11702,2011
200,山东省,,45361,2011
201,河南省,,26931,2011
202,湖北省,,19632,2011
203,湖南省,,19669,2011
204,广东省,,53210,2011
205,广西壮族自治区,,11720,2011
206,海南省,,2522,2011
207,重庆市,,10011,2011
208,四川省,,21026,2011
209,贵州省,,5701,2011
210,云南省,,8893,2011
211,西藏自治区,,605,2011
212,陕西省,,12512,2011
213,甘肃省,,5020,2011
214,青海省,,1670,2011
215,宁夏回族自治区,,2102,2011
216,新疆维吾尔自治区,,6610,2011
217,北京市,,14113,2010
218,天津市,,9224,2010
219,河北省,,20394,2010
220,山西省,,9200,2010
221,内蒙古自治区,,11672,2010
222,辽宁省,,18457,2010
223,吉林省,,8667,2010
224,黑龙江省,,10368,2010
225,上海市,,17165,2010
226,江苏省,,41425,2010
227,浙江省,,27722,2010
228,安徽省,,12359,2010
229,福建省,,14737,2010
230,江西省,,9451,2010
231,山东省,,39169,2010
232,河南省,,23092,2010
233,湖北省,,15967,2010
234,湖南省,,16037,2010
235,广东省,,46013,2010
236,广西壮族自治区,,9569,2010
237,海南省,,2064,2010
238,重庆市,,7925,2010
239,四川省,,17185,2010
240,贵州省,,4602,2010
241,云南省,,7224,2010
242,西藏自治区,,507,2010
243,陕西省,,10123,2010
244,甘肃省,,4120,2010
245,青海省,,1350,2010
246,宁夏回族自治区,,1689,2010
247,新疆维吾尔自治区,,5437,2010
248,北京市,,12153,2009
249,天津市,,7521,2009
250,河北省,,17235,2009
251,山西省,,7358,2009
252,内蒙古自治区,,9740,2009
253,辽宁省,,15212,2009
254,吉林省,,7278,2009
255,黑龙江省,,8587,2009
256,上海市,,15046,2009
257,江苏省,,34457,2009
258,浙江省,,22990,2009
259,安徽省,,10062,2009
260,福建省,,12236,2009
261,江西省,,7655,2009
262,山东省,,33896,2009
263,河南省,,19480,2009
264,湖北省,,12961,2009
265,湖南省,,13059,2009
266,广东省,,39482,2009
267,广西壮族自治区,,7759,2009
268,海南省,,1654,2009
269,重庆市,,6530,2009
270,四川省,,14151,2009
271,贵州省,,3912,2009
272,云南省,,6169,2009
273,西藏自治区,,441,2009
274,陕西省,,8169,2009
275,甘肃省,,3387,2009
276,青海省,,1081,2009
277,宁夏回族自治区,,1353,2009
278,新疆维吾尔自治区,,4277,2009
279,北京市,,11115,2008
280,天津市,,6719,2008
281,河北省,,16011,2008
282,山西省,,7315,2008
283,内蒙古自治区,,8496,2008
284,辽宁省,,13668,2008
285,吉林省,,6426,2008
286,黑龙江省,,8314,2008
287,上海市,,14069,2008
288,江苏省,,30981,2008
289,浙江省,,21462,2008
290,安徽省,,8851,2008
291,福建省,,10823,2008
292,江西省,,6971,2008
293,山东省,,30933,2008
294,河南省,,18018,2008
295,湖北省,,11328,2008
296,湖南省,,11555,2008
297,广东省,,36796,2008
298,广西壮族自治区,,7021,2008
299,海南省,,1503,2008
300,重庆市,,5793,2008
301,四川省,,12601,2008
302,贵州省,,3561,2008
303,云南省,,5692,2008
304,西藏自治区,,394,2008
305,陕西省,,7314,2008
306,甘肃省,,3166,2008
307,青海省,,1018,2008
308,宁夏回族自治区,,1203,2008
309,新疆维吾尔自治区,,4183,2008
310,北京市,,9846,2007
311,天津市,,5252,2007
312,河北省,,13607,2007
313,山西省,,6024,2007
314,内蒙古自治区,,6423,2007
315,辽宁省,,11164,2007
316,吉林省,,5284,2007
317,黑龙江省,,7104,2007
318,上海市,,12494,2007
319,江苏省,,26018,2007
320,浙江省,,18753,2007
321,安徽省,,7360,2007
322,福建省,,9248,2007
323,江西省,,5800,2007
324,山东省,,25776,2007
325,河南省,,15012,2007
326,湖北省,,9333,2007
327,湖南省,,9439,2007
328,广东省,,31777,2007
329,广西壮族自治区,,5823,2007
330,海南省,,1254,2007
331,重庆市,,4676,2007
332,四川省,,10562,2007
333,贵州省,,2884,2007
334,云南省,,4772,2007
335,西藏自治区,,341,2007
336,陕西省,,5757,2007
337,甘肃省,,2703,2007
338,青海省,,797,2007
339,宁夏回族自治区,,919,2007
340,新疆维吾尔自治区,,3523,2007
341,北京市,,8117,2006
342,天津市,,4462,2006
343,河北省,,11467,2006
344,山西省,,4878,2006
345,内蒙古自治区,,4944,2006
346,辽宁省,,9304,2006
347,吉林省,,4275,2006
348,黑龙江省,,6211,2006
349,上海市,,10572,2006
350,江苏省,,21742,2006
351,浙江省,,15718,2006
352,安徽省,,6112,2006
353,福建省,,7583,2006
354,江西省,,4820,2006
355,山东省,,21900,2006
356,河南省,,12362,2006
357,湖北省,,7617,2006
358,湖南省,,7688,2006
359,广东省,,26587,2006
360,广西壮族自治区,,4746,2006
361,海南省,,1065,2006
362,重庆市,,3907,2006
363,四川省,,8690,2006
364,贵州省,,2338,2006
365,云南省,,3988,2006
366,西藏自治区,,290,2006
367,陕西省,,4743,2006
368,甘肃省,,2277,2006
369,青海省,,648,2006
370,宁夏回族自治区,,725,2006
371,新疆维吾尔自治区,,3045,2006
372,北京市,,6969,2005
373,天津市,,3905,2005
374,河北省,,10012,2005
375,山西省,,4230,2005
376,内蒙古自治区,,3905,2005
377,辽宁省,,8047,2005
378,吉林省,,3620,2005
379,黑龙江省,,5513,2005
380,上海市,,9247,2005
381,江苏省,,18598,2005
382,浙江省,,13417,2005
383,安徽省,,5350,2005
384,福建省,,6554,2005
385,江西省,,4056,2005
386,山东省,,18366,2005
387,河南省,,10587,2005
388,湖北省,,6590,2005
389,湖南省,,6596,2005
390,广东省,,22557,2005
391,广西壮族自治区,,3984,2005
392,海南省,,918,2005
393,重庆市,,3467,2005
394,四川省,,7385,2005
395,贵州省,,2005,2005
396,云南省,,3462,2005
397,西藏自治区,,248,2005
398,陕西省,,3933,2005
399,甘肃省,,1933,2005
400,青海省,,543,2005
401,宁夏回族自治区,,612,2005
402,新疆维吾尔自治区,,2604,2005
403,北京市,,6033,2004
404,天津市,,3110,2004
405,河北省,,8477,2004
406,山西省,,3571,2004
407,内蒙古自治区,,3041,2004
408,辽宁省,,6672,2004
409,吉林省,,3122,2004
410,黑龙江省,,4750,2004
411,上海市,,8072,2004
412,江苏省,,15003,2004
413,浙江省,,11648,2004
414,安徽省,,4759,2004
415,福建省,,5763,2004
416,江西省,,3456,2004
417,山东省,,15021,2004
418,河南省,,8553,2004
419,湖北省,,5633,2004
420,湖南省,,5641,2004
421,广东省,,18864,2004
422,广西壮族自治区,,3433,2004
423,海南省,,819,2004
424,重庆市,,3034,2004
425,四川省,,6379,2004
426,贵州省,,1677,2004
427,云南省,,3081,2004
428,西藏自治区,,220,2004
429,陕西省,,3175,2004
430,甘肃省,,1688,2004
431,青海省,,466,2004
432,宁夏回族自治区,,537,2004
433,新疆维吾尔自治区,,2209,2004
434,北京市,,5007,2003
435,天津市,,2578,2003
436,河北省,,6921,2003
437,山西省,,2855,2003
438,内蒙古自治区,,2388,2003
439,辽宁省,,6002,2003
440,吉林省,,2662,2003
441,黑龙江省,,4057,2003
442,上海市,,6694,2003
443,江苏省,,12442,2003
444,浙江省,,9705,2003
445,安徽省,,3923,2003
446,福建省,,4983,2003
447,江西省,,2807,2003
448,山东省,,12078,2003
449,河南省,,6867,2003
450,湖北省,,4757,2003
451,湖南省,,4659,2003
452,广东省,,15844,2003
453,广西壮族自治区,,2821,2003
454,海南省,,713,2003
455,重庆市,,2555,2003
456,四川省,,5333,2003
457,贵州省,,1426,2003
458,云南省,,2556,2003
459,西藏自治区,,185,2003
460,陕西省,,2587,2003
461,甘肃省,,1399,2003
462,青海省,,390,2003
463,宁夏回族自治区,,445,2003
464,新疆维吾尔自治区,,1886,2003
465,北京市,,4315,2002
466,天津市,,2150,2002
467,河北省,,6018,2002
468,山西省,,2324,2002
469,内蒙古自治区,,1940,2002
470,辽宁省,,5458,2002
471,吉林省,,2348,2002
472,黑龙江省,,3637,2002
473,上海市,,5741,2002
474,江苏省,,10606,2002
475,浙江省,,8003,2002
476,安徽省,,3519,2002
477,福建省,,4467,2002
478,江西省,,2450,2002
479,山东省,,10275,2002
480,河南省,,6035,2002
481,湖北省,,4212,2002
482,湖南省,,4151,2002
483,广东省,,13502,2002
484,广西壮族自治区,,2523,2002
485,海南省,,642,2002
486,重庆市,,2232,2002
487,四川省,,4725,2002
488,贵州省,,1243,2002
489,云南省,,2312,2002
490,西藏自治区,,162,2002
491,陕西省,,2253,2002
492,甘肃省,,1232,2002
493,青海省,,340,2002
494,宁夏回族自治区,,377,2002
495,新疆维吾尔自治区,,1612,2002
496,北京市,,3707,2001
497,天津市,,1919,2001
498,河北省,,5516,2001
499,山西省,,2029,2001
500,内蒙古自治区,,1713,2001
501,辽宁省,,5033,2001
502,吉林省,,2120,2001
503,黑龙江省,,3390,2001
504,上海市,,5210,2001
505,江苏省,,9456,2001
506,浙江省,,6898,2001
507,安徽省,,3246,2001
508,福建省,,4072,2001
509,江西省,,2175,2001
510,山东省,,9195,2001
511,河南省,,5533,2001
512,湖北省,,3880,2001
513,湖南省,,3831,2001
514,广东省,,12039,2001
515,广西壮族自治区,,2279,2001
516,海南省,,579,2001
517,重庆市,,1976,2001
518,四川省,,4293,2001
519,贵州省,,1133,2001
520,云南省,,2138,2001
521,西藏自治区,,139,2001
522,陕西省,,2010,2001
523,甘肃省,,1125,2001
524,青海省,,300,2001
525,宁夏回族自治区,,337,2001
526,新疆维吾尔自治区,,1491,2001
527,北京市,,3161,2000
528,天津市,,1701,2000
529,河北省,,5043,2000
530,山西省,,1845,2000
531,内蒙古自治区,,1539,2000
532,辽宁省,,4669,2000
533,吉林省,,1951,2000
534,黑龙江省,,3151,2000
535,上海市,,4771,2000
536,江苏省,,8553,2000
537,浙江省,,6141,2000
538,安徽省,,2902,2000
539,福建省,,3764,2000
540,江西省,,2003,2000
541,山东省,,8337,2000
542,河南省,,5052,2000
543,湖北省,,3545,2000
544,湖南省,,3551,2000
545,广东省,,10741,2000
546,广西壮族自治区,,2080,2000
547,海南省,,526,2000
548,重庆市,,1791,2000
549,四川省,,3928,2000
550,贵州省,,1029,2000
551,云南省,,2011,2000
552,西藏自治区,,117,2000
553,陕西省,,1804,2000
554,甘肃省,,1052,2000
555,青海省,,263,2000
556,宁夏回族自治区,,295,2000
557,新疆维吾尔自治区,,1363,2000
558,北京市,,2678,1999
559,天津市,,1500,1999
560,河北省,,4514,1999
561,山西省,,1667,1999
562,内蒙古自治区,,1379,1999
563,辽宁省,,4171,1999
564,吉林省,,1672,1999
565,黑龙江省,,2866,1999
566,上海市,,4188,1999
567,江苏省,,7697,1999
568,浙江省,,5443,1999
569,安徽省,,2712,1999
570,福建省,,3414,1999
571,江西省,,1853,1999
572,山东省,,7493,1999
573,河南省,,4517,1999
574,湖北省,,3229,1999
575,湖南省,,3214,1999
576,广东省,,9250,1999
577,广西壮族自治区,,1971,1999
578,海南省,,476,1999
579,重庆市,,1663,1999
580,四川省,,3649,1999
581,贵州省,,937,1999
582,云南省,,1899,1999
583,西藏自治区,,105,1999
584,陕西省,,1592,1999
585,甘肃省,,956,1999
586,青海省,,239,1999
587,宁夏回族自治区,,264,1999
588,新疆维吾尔自治区,,1163,1999
589,北京市,,2377,1998
590,天津市,,1374,1998
591,河北省,,4256,1998
592,山西省,,1611,1998
593,内蒙古自治区,,1262,1998
594,辽宁省,,3881,1998
595,吉林省,,1577,1998
596,黑龙江省,,2774,1998
597,上海市,,3801,1998
598,江苏省,,7199,1998
599,浙江省,,5052,1998
600,安徽省,,2542,1998
601,福建省,,3159,1998
602,江西省,,1719,1998
603,山东省,,7021,1998
604,河南省,,4308,1998
605,湖北省,,3114,1998
606,湖南省,,3025,1998
607,广东省,,8530,1998
608,广西壮族自治区,,1911,1998
609,海南省,,442,1998
610,重庆市,,1602,1998
611,四川省,,3474,1998
612,贵州省,,858,1998
613,云南省,,1831,1998
614,西藏自治区,,91,1998
615,陕西省,,1458,1998
616,甘肃省,,887,1998
617,青海省,,220,1998
618,宁夏回族自治区,,245,1998
619,新疆维吾尔自治区,,1106,1998
620,北京市,,2077,1997
621,天津市,,1264,1997
622,河北省,,3953,1997
623,山西省,,1476,1997
624,内蒙古自治区,,1153,1997
625,辽宁省,,3582,1997
626,吉林省,,1464,1997
627,黑龙江省,,2667,1997
628,上海市,,3438,1997
629,江苏省,,6680,1997
630,浙江省,,4686,1997
631,安徽省,,2347,1997
632,福建省,,2870,1997
633,江西省,,1605,1997
634,山东省,,6537,1997
635,河南省,,4041,1997
636,湖北省,,2856,1997
637,湖南省,,2849,1997
638,广东省,,7774,1997
639,广西壮族自治区,,1817,1997
640,海南省,,411,1997
641,重庆市,,1509,1997
642,四川省,,3241,1997
643,贵州省,,805,1997
644,云南省,,1676,1997
645,西藏自治区,,77,1997
646,陕西省,,1363,1997
647,甘肃省,,793,1997
648,青海省,,202,1997
649,宁夏回族自治区,,224,1997
650,新疆维吾尔自治区,,1039,1997
651,北京市,,1789,1996
652,天津市,,1121,1996
653,河北省,,3452,1996
654,山西省,,1292,1996
655,内蒙古自治区,,1023,1996
656,辽宁省,,3157,1996
657,吉林省,,1346,1996
658,黑龙江省,,2370,1996
659,上海市,,2957,1996
660,江苏省,,6004,1996
661,浙江省,,4188,1996
662,安徽省,,2093,1996
663,福建省,,2484,1996
664,江西省,,1409,1996
665,山东省,,5883,1996
666,河南省,,3634,1996
667,湖北省,,2499,1996
668,湖南省,,2540,1996
669,广东省,,6834,1996
670,广西壮族自治区,,1697,1996
671,海南省,,389,1996
672,重庆市,,1315,1996
673,四川省,,2871,1996
674,贵州省,,723,1996
675,云南省,,1517,1996
676,西藏自治区,,64,1996
677,陕西省,,1215,1996
678,甘肃省,,722,1996
679,青海省,,184,1996
680,宁夏回族自治区,,202,1996
681,新疆维吾尔自治区,,900,1996
682,北京市,,1507,1995
683,天津市,,931,1995
684,河北省,,2849,1995
685,山西省,,1076,1995
686,内蒙古自治区,,857,1995
687,辽宁省,,2793,1995
688,吉林省,,1137,1995
689,黑龙江省,,1991,1995
690,上海市,,2499,1995
691,江苏省,,5155,1995
692,浙江省,,3557,1995
693,安徽省,,1810,1995
694,福建省,,2094,1995
695,江西省,,1169,1995
696,山东省,,4953,1995
697,河南省,,2988,1995
698,湖北省,,2109,1995
699,湖南省,,2132,1995
700,广东省,,5933,1995
701,广西壮族自治区,,1497,1995
702,海南省,,363,1995
703,重庆市,,1123,1995
704,四川省,,2443,1995
705,贵州省,,636,1995
706,云南省,,1222,1995
707,西藏自治区,,56,1995
708,陕西省,,1036,1995
709,甘肃省,,557,1995
710,青海省,,167,1995
711,宁夏回族自治区,,175,1995
712,新疆维吾尔自治区,,814,1995
713,北京市,,1145,1994
714,天津市,,732,1994
715,河北省,,2187,1994
716,山西省,,826,1994
717,内蒙古自治区,,695,1994
718,辽宁省,,2461,1994
719,吉林省,,937,1994
720,黑龙江省,,1604,1994
721,上海市,,1990,1994
722,江苏省,,4057,1994
723,浙江省,,2689,1994
724,安徽省,,1320,1994
725,福建省,,1644,1994
726,江西省,,948,1994
727,山东省,,3844,1994
728,河南省,,2216,1994
729,湖北省,,1700,1994
730,湖南省,,1650,1994
731,广东省,,4619,1994
732,广西壮族自治区,,1198,1994
733,海南省,,331,1994
734,重庆市,,833,1994
735,四川省,,2001,1994
736,贵州省,,524,1994
737,云南省,,983,1994
738,西藏自治区,,45,1994
739,陕西省,,839,1994
740,甘肃省,,453,1994
741,青海省,,138,1994
742,宁夏回族自治区,,136,1994
743,新疆维吾尔自治区,,662,1994
744,北京市,,886,1993
745,天津市,,538,1993
746,河北省,,1690,1993
747,山西省,,680,1993
748,内蒙古自治区,,537,1993
749,辽宁省,,2010,1993
750,吉林省,,718,1993
751,黑龙江省,,1198,1993
752,上海市,,1519,1993
753,江苏省,,2998,1993
754,浙江省,,1925,1993
755,安徽省,,1037,1993
756,福建省,,1114,1993
757,江西省,,723,1993
758,山东省,,2770,1993
759,河南省,,1660,1993
760,湖北省,,1325,1993
761,湖南省,,1244,1993
762,广东省,,3469,1993
763,广西壮族自治区,,871,1993
764,海南省,,260,1993
765,重庆市,,608,1993
766,四川省,,1486,1993
767,贵州省,,417,1993
768,云南省,,783,1993
769,西藏自治区,,37,1993
770,陕西省,,678,1993
771,甘肃省,,372,1993
772,青海省,,109,1993
773,宁夏回族自治区,,104,1993
774,新疆维吾尔自治区,,495,1993
